review, sentiment
"So I rented this from Netflix because somebody gave me Roger Ebert's book ""I hated, hated, hated this movie"" and he gave this one a rare zero-star rating in the book and said at the end of his original review ""Mad Dog Time should be cut up to provide free ukulele picks for the poor"". So I figured from Ebert saying that I would see if it was really as bad as he said it was. I know most society says not to listen to critics and to judge for yourself but I could not express how much I hated this piece of junk like Ebert did and never since Ebert's review of Rob Reiner's ""North"" where he said he hated that movie ten times had I ever heard such a brilliant hatred movie review. Here we have Richard Dreyfuss as a gangster which I don't think it would be terrible to see Dreyfuss as a gangster if the screenplay for this movie were written well. But above all the other things that were awful about this ""movie"" I can certainly tell you the script was not written well at all. While the movie starts off with Jeff Goldblum saying that he enjoyed watching Dreyfuss's girlfriend while Dreyfuss was at a criminal hospital the movie starts off with some decent dialog after the opening credits. But after that first 4 or 5 minutes the other 85 minutes just consists of dumb characters talking pointless garbage for 30 seconds then someone gets shot. Then there are a whole bunch of jokes about Dreyfuss being mentally ill. Haha. Not funny. Then we get an unpleasant and unfunny scene parodying Frank Sinatra's ""My Way"" sang by Gabriel Byrne apparently to insult Dreyfuss. Of course because the screenplay was written on the level of a sixth grader Dreyfuss shoots Byrne over five times and Byrne just will not die. Are we as the audience supposed to even care or find that mildly funny? I can certainly tell you I did not care or find that funny. Not only am I disappointed in Dreyfuss (who I admire much as an actor) for producing and starring in this tripe but I am also extremely disappointed in Jeff Goldblum because this was released the same year that ""Independence Day"" was the top grossing film of the year and ultimately one of the most successful films in history. Did Goldblum feel that ""Independence Day"" would be a flop and then just take the next role that was offered to him to make some money if ""Independence Day"" were a bomb? What did an Oscar winner and the star of two of the biggest money making films in history find remotely enjoyable about this? The opening sequence of ""Mad Dog Time"" says that the movie is set on another planet. I only wish now that I have wasted 93 minutes watching this trash that it would have stayed and opened in theaters on the planet where it supposedly takes place so that way everyone on this planet would never here of this ridiculous waste of 93 minutes out of my life that I will never get back. Ebert saying the movie should have been cut up is not good enough I am afraid. Every copy of ""Mad Dog Time"" should have gasoline poured all over it and be lit on fire. I have yet to top a worst movie I have ever seen because this one has won it's honor as the worst movie ever.",negative
"If you like original gut wrenching laughter you will like this movie. If you are young or old then you will love this movie, hell even my mom liked it.<br /><br />Great Camp!!!",positive
"First, I realize that a ""1"" rating is supposed to be reserved for the worst of the worst. This movie gets that from me because, as one reviewer points out, it's not bad in a self-aware, over-the-top sort of way that might allow it to have some comic or cult value. It simply misses its mark on every count. **Contains possible spoilers** The dialog is completely disingenuous. The continuity is so deliberate it's painful. Daniel just finishes speaking of his lost love, and with his final word the flamenco dancers start. The mock-shock of what's her name (see? I don't even remember her character's name, let alone the name of the forgettable actress) when her husband (the Baldwin) first tells her that her friend is the bad guy. The car and the motorcycle chases did all the right things. Vegetable carts gone flying. Cars crashing into each other. Motorcycles going down the stairs. People nearly being hit, but remarkably, no one is. Oh, that's right... except for the one guy who has been stabbed several times, is obviously stumbling along the curb with knife wounds, and an approaching car apparently didn't notice him there. Hmmm. <br /><br />It's becoming more and more remarkable to me that movies like this can be made. There is so much pressure in the film industry to make money, you'd think that someone in Hollywood would think of making good films worth seeing. Now there's a novel idea. <br /><br />My suggestion: don't see this film. Don't rent the DVD. Don't watch it on cable. There are lots of other things you could be doing that will leave you feeling more satisfied.",negative
"As a disclaimer, I've seen the movie 5-6 times in the last 15 years, and I only just saw the musical this week. This allowed me to judge the movie without being tainted by what was or wasn't in the musical (however, it tainted me when I watched the musical :) ) <br /><br />I actually believe Michael Douglas worked quite well in that role, along with Kasey. I think her 'Let me dance for you scene' is one of the best parts of the movie, a worthwhile addition compared to the musical. The dancers and singing in the movie are much superior to the musical, as well as the cast which is at least 10 times bigger (easier to do in the movie of course). The decors, lighting, dancing, and singing are also much superior in the movie, which should be expected, and was indeed delivered. <br /><br />The songs that were in common with the musical are better done in the movie, the new ones are quite good ones, and the whole movie just delivers more than the musical in my opinion, especially compared to a musical which has few decors. The one bad point on the movie is the obvious cuts between the actors talking, and dubbed singers during the singing portions for some of the characters, but their dancing is impeccable, and the end product was more enjoyable than the musical",positive
"Bled is a very apt title for this As you watch it you will feel your life being bled from you . The cliché in horrors is about people doing exactly what they shouldn't ( going down into the basement or going up into the attic) Then the trouble ensues Take heed then DON'T watch this film .Show the brains that victims in horror movies never do Stay clear Do not enter .And if you need anymore incentive This film? is as bad as the worst Uwe Boll film I mean ,The house of the dead bad. I have often thought about entering a review of a film on I.M.D.B. and ,after watching some based on the comments herein ,I discovered I guess everyone's entiled to his/her opinion. Please trust me on mine",negative
"The trouble with the book, ""Memoirs of a Geisha"" is that it had Japanese surfaces but underneath the surfaces it was all an American man's way of thinking. Reading the book is like watching a magnificent ballet with great music, sets, and costumes yet performed by barnyard animals dressed in those costumesso far from Japanese ways of thinking were the characters.<br /><br />The movie isn't about Japan or real geisha. It is a story about a few American men's mistaken ideas about Japan and geisha filtered through their own ignorance and misconceptions. So what is this movie if it isn't about Japan or geisha? Is it pure fantasy as so many people have said? Yes, but then why make it into an American fantasy?<br /><br />There were so many missed opportunities. Imagine a culture where there are no puritanical hang-ups, no connotations of sin about sex. Sex is natural and normal. How is sex handled in this movie? Right. Like it was dirty. The closest thing to a sex scene in the movie has Sayuri wrinkling up her nose and grimacing with distaste for five seconds as if the man trying to mount her had dropped a handful of cockroaches on her crotch. <br /><br />Does anyone actually enjoy sex in this movie? Nope. One character is said to be promiscuous but all we see is her pushing away her lover because it looks like she doesn't want to get caught doing something dirty. Such typical American puritanism has no place in a movie about Japanese geisha.<br /><br />Did Sayuri enjoy her first ravishing by some old codger after her cherry was auctioned off? Nope. She lies there like a cold slab of meat on a chopping block. Of course she isn't supposed to enjoy it. And that is what I mean about this movie. Why couldn't they have given her something to enjoy? Why does all the sex have to be sinful and wrong?<br /><br />Behind Mameha the Chairman was Sayuri's secret patron, and as such he was behind the auction of her virginity. He could have rigged the auction and won her himself. Nobu didn't even bid. So why did the Chairman let that old codger win her and, reeking of old-man stink, get his fingers all over her naked body? Would any woman ever really forgive a man for that?<br /><br />Let's try to make sense of this. By being behind Mameha the Chairman incurred debts for Sayuri's geisha training. In order to recoup his debts the Chairman had Sayuri sold to Dr. Crab. Through Mameha the Chairman sold Sayuri's sexual favors to that old geezer so that the Chairman could make some money out of her. The Chairman wasn't her patron. He was her pimp! Some romantic love story.<br /><br />Yes, the film is gorgeous but it is like the beauty of a very attractive, alluring transvestite whose voice, appearance and every touch are thrilling. But under that very feminine surface lies an ominous secret. Under the incorrectly appearing Japanese surface of the film lurks the ominous secret that the heart, soul, spirit and core of this film is entirely American and male. Not the best thing to be if it is trying to be other than a lie, distortion, and terribly wrong.<br /><br />Some contrasts between Japan and MOAG:<br /><br />Japanese style  Refined, elegant simplicity. MOAG style  Peking Opera.<br /><br />Japanese geisha  Hair swept up. MOAG geisha  Loose hair which surely must have gotten all gunked up in the thick paste of white makeup.<br /><br />Japanese shaved ice - Japanese are rather strict about seasonal observances. Shaved ice is strictly a summer treat. MOAG shaved ice - The Chairman buys Chiyo, the young Sayuri played by the marvelous Suzuka Ohgo, this treat during cherry-blossom-viewing season. The thought made my entire body shiver with cold.<br /><br />Japanese geisha  Trained and skilled entertainers. MOAG geisha - sluts.<br /><br />Japanese wind chime - Used in the summer because hearing the sound it makes, thanks to the breeze, Japanese people feel somehow cooler. MOAG wind chime - a door bell! If a person stood in front of another's house and made noises with a wind chime they would be considered a lunatic, not gain entrance.<br /><br />Japan  Emphasis on human relationships, group oriented. MOAG  ""I want a life that's mine"" American individualism.<br /><br />Japanese traditional dance  Refined elegance. An almost geometrical and mechanical precision. MOAG dance  Martha Graham freaking out on LSD while wearing a not-very-auspicious white Japanese funeral shroud. Performed by a geisha down a ramp in a place that looks like a strip club? Ha ha ha! Is a strip club where they did most of their research on geisha?<br /><br />Japan house fire  Setting or even letting a fire break out is worse than murder because it poses such a dire threat to the community. Fires can rip through those wooden villages, towns, and cities destroying hundreds or thousands of homes and killing as many people. MOAG house fire - Great adjunct to a fight scene but there are zero ramifications and because it is no longer needed the out-of-control fire miraculously puts itself out. Technically the movie ended here because at the very least Sayuri would have been ostracized and joined her sister among those never heard from again. Which is where both Arthur Golden and Rob Marshall should be exiled.<br /><br />Enough. The movie stinks.",negative
"i see there are great reviews of this film already, i've got a few points to comment on, reasons i thought there was something special about this film...<br /><br />first and foremost, the film is realistic. it may not seem realistic to an adult who has forgotten what it was like being a teenager, but that's really the kind of superdrama that goes on amongst teens all the time. second, the good guy, the guy who treats women with respect, doesn't get the girls. that's the way it is, in real life just the same! he's too nice for his own good. people are just selfish. third, it was nice to see a fat guy who had some self-confidence. i mean, that role already takes confidence from the actor, i'm not just talking about the character. overall i thought the film was a positive surprise that secretly hides amongst wacky, partyin' teen sex comedies at the rental shelf. don't get me wrong, it's not all sad, it's a good laugh as well.",positive
"""Traffik 1989"" is an Emmy award winning six part miniseries out of the UK which was the inspiration for the Oscar winning ""Traffic 2000"". The five hour film breaks down the opium/heroine trade for the viewer from the handcasting of poppy seeds in an Afghanistan field to the ""head rush"" of a mainlining junkie in a flat in England. Not only does ""Traffik"" offer entertainment value through interleaved dramatic stories it also provides an overview of the international drug trade at all levels answering the who, where, how, and why questions of the age old and unstoppable narcotic supply/demand machine. Synergistically entertaining and educational, ""Traffik"" will prove to be time well spent for teens and up. (A)",positive
"Those wishing to see film noir remakes, should not see this as as a remake, you will always be disappointed. Instead, enjoy a gripping performance from Dennis Quaid and visual imagery to commend. The colour drains from the film (literally, not metaphorically!)) as the plot gathers pace, and the dialogue is crisp and gritty. The opening dialogue is clever, and the viewer is carried along by a sharp screenplay and a real, original film noir feel,",positive
"The movie starts off in a classroom setting where not surprisingly, our main actress, Orked was seen in a Chinese Language class. Later in the film, she was asked on why (by Mukhsin) that she was sent to learn Mandarin. Her answer was simple for a child she is; coz she's already known the Malay Language well.<br /><br />It's a bit of a romance one may thought of it, but once you've stopped yourself from reading too much critics and go for it, you'll notice the typical elements of Malaysia. The movie basically focuses on 10 year old Orked who met 12 year old Mukhsin in a game of which many would think of it as a boy's game. Running out of players, Mukhsin (who was new in that village) was forced to allow Orked into the game, in which she eagerly showed the male side of her. Orked is no such ordinary girl as she depicts more of the male behavior as you will see in the movie, defending Mukhsin from much violent encounter with her school-bullies, throwing one of the bully's bag out from the school bus window, throwing punches and kicks on Mukhsin's brother where after he teased Mukhsin and so on and so forth. Both were awesome buddies, and stick closer than that, but with a slightest of misunderstanding in which most of us would all respond to in the same way, parted the both of them until the day when Mukhsin left town.<br /><br />Now the movie depicts the first love between Orked and Mukhsin, they started out as friends, but slowly evolving into somewhat more of a closer relationship and then towards BGR. You would notice, the changes Yasmin made in the movies for each of the main actor and the actress when they go through love. The different character was portrayed with eagerness and mild humor. The scenes were all in random but it depicted so much reality in it that you'd be stuck on the screen for a long time. You will love the movie for what it is, and not because that you want to be patriotic to the local scenes, coz it means much more.<br /><br />As the movie envelopes around the two love birds, it also manages to find its lens towards Orked's parents, her mother who was educated in England, speaks very good English and in which, her husband and the caretaker in the house with very much attempt tries to speak back their own kind of English, which was humor all the way indeed. Let me just explain to you why humor can be such a prominent thing in this movie. And that explanation or description that you may portray can be given in only one word and that is RANDOMNESS. Often more than not, we don't learn to laugh at ourselves, and when we do, we do it at the expense of others. It is just like what the movie Just Follow Law by Jack Neo would have mentioned - Often when we are ourselves, we don't see the person in us we are, but when only when we are in another person's body, then only would we learn to see who we really are. And that is how humor applies as well, more so than just dignity.<br /><br />The movie was filled with such randomness that the typical facts of our routine lives as we carried it out could be all the way filled with laughter if we want it to be.<br /><br />The other focus of this movie was on how Orked's neighbor, a couple in which the husband is no longer loving to his wife, and wanted to find another. Pak Koboi as what he's nicked after was seen polishing his motorbike daily and would take it out for a ride with his newly found girlfriend. The producer did not fail to show you perhaps why the husband wanted to find another wife. The wife was a real hurler or KPC as we Chinese would call it, having interrupting on other people's business and sending her own daughter to tease Orked in words only adults would use. After all, what goes around, comes around, and that's probably why bad things kinda want to happen to her. In every time, being nice to people around you won't hurt at all, unless you have an ego to protect, but then again, what's it worth? The movie also centers around Mukhsin's brother, Hussein who would go out to town everyday until very late at night, smoking, drinking, and also finding 'girls'. He's the total opposite of Mukhsin, but that's all perhaps because of family problems. Both the brothers were staying with their aunt and the parents were far away from them. I will not reveal more of the story line as it would spoil much of the interest in wanting to find it out for yourself, but the slightest of all elements in which the producer wanted to send a message across to the viewers is the life of us all. She wanted us, me at least to view life from our own perspective when we are not ourselves. Movies in a way, take us out from our own body, places us in the character's position, and use our empty mind then to view on the happenings of it. Depending on the type and genre of the movie, you will be mesmerized by how a good movie such as this would portray and imply a significant impact on you.",positive
